name,department,,,,,,,,,,,,,,,,,,
艾滋病导致的肺结核,传染科,,,,,,,,,,,,,,,,,,
包虫病,传染科,,,,,,,,,,,,,,,,,,
囊虫病,传染科,,,,,,,,,,,,,,,,,,
老年人肺结核病,传染科,,,,,,,,,,,,,,,,,,
钩端螺旋体病,传染科,,,,,,,,,,,,,,,,,,
肺吸虫病,传染科,,,,,,,,,,,,,,,,,,
寄生虫,传染科,,,,,,,,,,,,,,,,,,
慢性化脓性腮腺炎,传染科,,,,,,,,,,,,,,,,,,
伤寒与副伤寒,传染科,,,,,,,,,,,,,,,,,,
黄热病,传染科,,,,,,,,,,,,,,,,,,
鞭虫病,传染科,,,,,,,,,,,,,,,,,,
黑热病,传染科,,,,,,,,,,,,,,,,,,
猪带绦虫病,传染科,,,,,,,,,,,,,,,,,,
全身性念珠菌病,传染科,,,,,,,,,,,,,,,,,,
气性坏疽,传染科,,,,,,,,,,,,,,,,,,
旋毛虫病,传染科,,,,,,,,,,,,,,,,,,
病毒性出血热,传染科,,,,,,,,,,,,,,,,,,
人类细小病毒B19感染,传染科,,,,,,,,,,,,,,,,,,
隐球菌病,传染科,,,,,,,,,,,,,,,,,,
泌尿生殖系棘球蚴病,传染科,,,,,,,,,,,,,,,,,,
阴囊丝虫病,传染科,,,,,,,,,,,,,,,,,,
球孢子菌病,传染科,,,,,,,,,,,,,,,,,,
泌尿生殖系真菌病,传染科,,,,,,,,,,,,,,,,,,
牛带绦虫病,传染科,,,,,,,,,,,,,,,,,,
脑血吸虫病,传染科,,,,,,,,,,,,,,,,,,
流行性斑疹伤寒,传染科,,,,,,,,,,,,,,,,,,
人蠕形螨病,传染科,,,,,,,,,,,,,,,,,,
粪类圆线虫病,传染科,,,,,,,,,,,,,,,,,,
传染性淋巴细胞增多症,传染科,,,,,,,,,,,,,,,,,,
丹毒丝菌病,传染科,,,,,,,,,,,,,,,,,,
立克次体病,传染科,,,,,,,,,,,,,,,,,,
盲肠肉芽肿,传染科,,,,,,,,,,,,,,,,,,
锥虫病,传染科,,,,,,,,,,,,,,,,,,
库鲁病,传染科,,,,,,,,,,,,,,,,,,
血吸虫尾蚴性皮炎,传染科,,,,,,,,,,,,,,,,,,
回归热,传染科,,,,,,,,,,,,,,,,,,
获得性免疫缺陷综合征的消化系统损害,传染科,,,,,,,,,,,,,,,,,,
组织胞浆菌病,传染科,,,,,,,,,,,,,,,,,,
马尔尼菲青霉病,传染科,,,,,,,,,,,,,,,,,,
进行性播散型水痘,传染科,,,,,,,,,,,,,,,,,,
鼠咬热,传染科,,,,,,,,,,,,,,,,,,
查加斯病,传染科,,,,,,,,,,,,,,,,,,
柯萨奇病毒和埃可病毒感染,传染科,,,,,,,,,,,,,,,,,,
肺外结核,传染科,,,,,,,,,,,,,,,,,,
皮肤猪囊尾蚴病,传染科,,,,,,,,,,,,,,,,,,
芽生菌病,传染科,,,,,,,,,,,,,,,,,,
裂头绦虫病,传染科,,,,,,,,,,,,,,,,,,
内脏血吸虫炎,传染科,,,,,,,,,,,,,,,,,,
泌尿生殖系血吸虫病,传染科,,,,,,,,,,,,,,,,,,
自由生活阿米巴感染,传染科,,,,,,,,,,,,,,,,,,
白蛉热,传染科,,,,,,,,,,,,,,,,,,
弓形体脑病,传染科,,,,,,,,,,,,,,,,,,
拉沙热,传染科,,,,,,,,,,,,,,,,,,
钩端螺旋体病的肾损害,传染科,,,,,,,,,,,,,,,,,,
利斯特菌病,传染科,,,,,,,,,,,,,,,,,,
马尔堡病毒病,传染科,,,,,,,,,,,,,,,,,,
副球孢子菌病,传染科,,,,,,,,,,,,,,,,,,
裂谷热,传染科,,,,,,,,,,,,,,,,,,
溶组织内阿米巴病,传染科,,,,,,,,,,,,,,,,,,
克里米亚-刚果出血热,传染科,,,,,,,,,,,,,,,,,,
科罗拉多蜱热,传染科,,,,,,,,,,,,,,,,,,
异尖线吸虫蚴移行症,传染科,,,,,,,,,,,,,,,,,,
夸赛纳森林病,传染科,,,,,,,,,,,,,,,,,,
鄂木斯克出血热,传染科,,,,,,,,,,,,,,,,,,
苏格兰脑炎,传染科,,,,,,,,,,,,,,,,,,
羌虫病,传染科,,,,,,,,,,,,,,,,,,
甲型副伤寒,传染科,,,,,,,,,,,,,,,,,,
衣原体感染,传染科,,,,,,,,,,,,,,,,,,
 梭状芽胞杆菌...,传染科,,,,,,,,,,,,,,,,,,
 副伤寒,传染科,,,,,,,,,,,,,,,,,,
 散发性脑炎,传染科,,,,,,,,,,,,,,,,,,
 四川并殖吸虫病,传染科,,,,,,,,,,,,,,,,,,
 冠状病毒感染,传染科,,,,,,,,,,,,,,,,,,
 微小病毒感染,传染科,,,,,,,,,,,,,,,,,,
 弯曲菌感染,传染科,,,,,,,,,,,,,,,,,,
 弯曲菌性肠炎,传染科,,,,,,,,,,,,,,,,,,
 流行性出血热,传染科,,,,,,,,,,,,,,,,,,
 苏格兰脑炎,传染科,,,,,,,,,,,,,,,,,,
 钩虫病,传染科,,,,,,,,,,,,,,,,,,
 间插血吸虫病,传染科,,,,,,,,,,,,,,,,,,
 甲流,传染科,,,,,,,,,,,,,,,,,,
 麻风病,传染科,,,,,,,,,,,,,,,,,,
 麻疹,传染科,,,,,,,,,,,,,,,,,,
 拉沙热,传染科,,,,,,,,,,,,,,,,,,
 汉坦病毒肺综合征,传染科,,,,,,,,,,,,,,,,,,
 甲型副伤寒,传染科,,,,,,,,,,,,,,,,,,
 甲状腺结核,传染科,,,,,,,,,,,,,,,,,,
 麻风性葡萄膜炎,传染科,,,,,,,,,,,,,,,,,,
 流行性腮腺炎,传染科,,,,,,,,,,,,,,,,,,
 莱姆病,传染科,,,,,,,,,,,,,,,,,,
 流行性乙型脑炎,传染科,,,,,,,,,,,,,,,,,,
 类鼻疽,传染科,,,,,,,,,,,,,,,,,,
 人类T淋巴细...,传染科,,,,,,,,,,,,,,,,,,
 急性阿米巴痢疾,传染科,,,,,,,,,,,,,,,,,,
 金黄色葡萄球...,传染科,,,,,,,,,,,,,,,,,,
 卫氏并殖吸虫病,传染科,,,,,,,,,,,,,,,,,,
 疟疾,传染科,,,,,,,,,,,,,,,,,,
 诺卡放线菌病,传染科,,,,,,,,,,,,,,,,,,
 疟疾肾病,传染科,,,,,,,,,,,,,,,,,,
 内脏血吸虫炎,传染科,,,,,,,,,,,,,,,,,,
 内脏利什曼病,传染科,,,,,,,,,,,,,,,,,,
 麻风性角膜病变,传染科,,,,,,,,,,,,,,,,,,
 绿猴病,传染科,,,,,,,,,,,,,,,,,,
 马尔堡病毒病,传染科,,,,,,,,,,,,,,,,,,
 裂谷热,传染科,,,,,,,,,,,,,,,,,,
 单纯性疱疹,传染科,,,,,,,,,,,,,,,,,,
 地方性斑疹伤寒,传染科,,,,,,,,,,,,,,,,,,
 华支睾吸虫病,传染科,,,,,,,,,,,,,,,,,,
 结核病,传染科,,,,,,,,,,,,,,,,,,
 急性丙肝,传染科,,,,,,,,,,,,,,,,,,
 Q热,传染科,,,,,,,,,,,,,,,,,,
 奇孔古尼亚病...,传染科,,,,,,,,,,,,,,,,,,
 立氏立克次体斑疹热,传染科,,,,,,,,,,,,,,,,,,
 链杆菌病,传染科,,,,,,,,,,,,,,,,,,
 罗阿丝虫病,传染科,,,,,,,,,,,,,,,,,,
 登革热,传染科,,,,,,,,,,,,,,,,,,
 黑热病,传染科,,,,,,,,,,,,,,,,,,
 霍乱,传染科,,,,,,,,,,,,,,,,,,
 弓形体病,传染科,,,,,,,,,,,,,,,,,,
 钩端螺旋体病...,传染科,,,,,,,,,,,,,,,,,,
 尾蚴性皮炎,传染科,,,,,,,,,,,,,,,,,,
 委内瑞拉马脑炎,传染科,,,,,,,,,,,,,,,,,,
 巴尔通体病,传染科,,,,,,,,,,,,,,,,,,
 布氏杆菌病,传染科,,,,,,,,,,,,,,,,,,
 布鲁菌病,传染科,,,,,,,,,,,,,,,,,,
 球孢子菌病,传染科,,,,,,,,,,,,,,,,,,
 禽流感,传染科,,,,,,,,,,,,,,,,,,
 肺吸虫病,传染科,,,,,,,,,,,,,,,,,,
 副球孢子菌病,传染科,,,,,,,,,,,,,,,,,,
 放线菌病,传染科,,,,,,,,,,,,,,,,,,
 风疹,传染科,,,,,,,,,,,,,,,,,,
 肺结核,传染科,,,,,,,,,,,,,,,,,,
 莱姆病性巩膜炎,传染科,,,,,,,,,,,,,,,,,,
 瘰疬性苔藓,传染科,,,,,,,,,,,,,,,,,,
 瘰疬性皮肤结核病,传染科,,,,,,,,,,,,,,,,,,
 螺菌病,传染科,,,,,,,,,,,,,,,,,,
 盘尾丝虫病,传染科,,,,,,,,,,,,,,,,,,
 皮肤阿米巴病,传染科,,,,,,,,,,,,,,,,,,
 皮肤炭疽,传染科,,,,,,,,,,,,,,,,,,
 皮肤幼虫移行症,传染科,,,,,,,,,,,,,,,,,,
 单纯疱疹,传染科,,,,,,,,,,,,,,,,,,
 查加斯病,传染科,,,,,,,,,,,,,,,,,,
 炭疽,传染科,,,,,,,,,,,,,,,,,,
 炭疽病,传染科,,,,,,,,,,,,,,,,,,
 弯曲菌肠炎,传染科,,,,,,,,,,,,,,,,,,
 脑弓形体病,传染科,,,,,,,,,,,,,,,,,,
 脑结核瘤,传染科,,,,,,,,,,,,,,,,,,
 包虫病,传染科,,,,,,,,,,,,,,,,,,
 白喉,传染科,,,,,,,,,,,,,,,,,,
 慢性细菌性痢疾,传染科,,,,,,,,,,,,,,,,,,
 非洲锥虫病,传染科,,,,,,,,,,,,,,,,,,
 非性病性梅毒,传染科,,,,,,,,,,,,,,,,,,
 鼠咬热,传染科,,,,,,,,,,,,,,,,,,
 溶组织内阿米巴病,传染科,,,,,,,,,,,,,,,,,,
 传染性单核细...,传染科,,,,,,,,,,,,,,,,,,
 肠道病毒71型感染,传染科,,,,,,,,,,,,,,,,,,
 天花,传染科,,,,,,,,,,,,,,,,,,
 H7N9型禽流感,传染科,,,,,,,,,,,,,,,,,,
 获得性免疫缺...,传染科,,,,,,,,,,,,,,,,,,
 男性生殖系结核,传染科,,,,,,,,,,,,,,,,,,
 牛带绦虫病,传染科,,,,,,,,,,,,,,,,,,
 诺卡菌病,传染科,,,,,,,,,,,,,,,,,,
 难辨芽胞杆菌肠炎,传染科,,,,,,,,,,,,,,,,,,
 鼻疽,传染科,,,,,,,,,,,,,,,,,,
 羌虫病,传染科,,,,,,,,,,,,,,,,,,
 气性坏疽病,传染科,,,,,,,,,,,,,,,,,,
 湄公血吸虫病,传染科,,,,,,,,,,,,,,,,,,
 麻风,传染科,,,,,,,,,,,,,,,,,,
 非结核性分枝杆菌病,传染科,,,,,,,,,,,,,,,,,,
 类圆线虫病,传染科,,,,,,,,,,,,,,,,,,
 皮肤颌口虫病,传染科,,,,,,,,,,,,,,,,,,
 瑞列绦虫病,传染科,,,,,,,,,,,,,,,,,,
 肠道传染病,传染科,,,,,,,,,,,,,,,,,,
 肠结核,传染科,,,,,,,,,,,,,,,,,,
 H7n7,传染科,,,,,,,,,,,,,,,,,,
 回归热,传染科,,,,,,,,,,,,,,,,,,
 曲霉病,传染科,,,,,,,,,,,,,,,,,,
 猫抓病,传染科,,,,,,,,,,,,,,,,,,
 慢性阿米巴病肠炎,传染科,,,,,,,,,,,,,,,,,,
 慢性阿米巴性痢疾,传染科,,,,,,,,,,,,,,,,,,
 毛圆线虫病,传染科,,,,,,,,,,,,,,,,,,
 流行性斑疹伤寒,传染科,,,,,,,,,,,,,,,,,,
 利斯特菌病,传染科,,,,,,,,,,,,,,,,,,
 乳房棘球蚴病,传染科,,,,,,,,,,,,,,,,,,
 乳房结核,传染科,,,,,,,,,,,,,,,,,,
 肉孢子虫病,传染科,,,,,,,,,,,,,,,,,,
 单纯疱疹性脑炎,传染科,,,,,,,,,,,,,,,,,,
 短膜壳绦虫病,传染科,,,,,,,,,,,,,,,,,,
 东方马型脑炎,传染科,,,,,,,,,,,,,,,,,,
 黄热病,传染科,,,,,,,,,,,,,,,,,,
 念珠菌病,传染科,,,,,,,,,,,,,,,,,,
 肺包虫病,传染科,,,,,,,,,,,,,,,,,,
 夸赛纳森林病,传染科,,,,,,,,,,,,,,,,,,
 狂犬病,传染科,,,,,,,,,,,,,,,,,,
 柯萨奇病毒和...,传染科,,,,,,,,,,,,,,,,,,
 康诺尔立克次...,传染科,,,,,,,,,,,,,,,,,,
 卡他莫拉菌感染,传染科,,,,,,,,,,,,,,,,,,
 老年人肺结核,传染科,,,,,,,,,,,,,,,,,,
 老年人肺结核病,传染科,,,,,,,,,,,,,,,,,,
 片吸虫病,传染科,,,,,,,,,,,,,,,,,,
 品他病,传染科,,,,,,,,,,,,,,,,,,
 日本血吸虫病,传染科,,,,,,,,,,,,,,,,,,
 兔热病,传染科,,,,,,,,,,,,,,,,,,
 继发性肺结核,传染科,,,,,,,,,,,,,,,,,,
 结核性盆腔炎,传染科,,,,,,,,,,,,,,,,,,
 白蛉热,传染科,,,,,,,,,,,,,,,,,,
 淋巴丝虫病,传染科,,,,,,,,,,,,,,,,,,
 淋巴结结核,传染科,,,,,,,,,,,,,,,,,,
 皮下裂头蚴病,传染科,,,,,,,,,,,,,,,,,,
 淋球菌感染,传染科,,,,,,,,,,,,,,,,,,
 输血后肝炎,传染科,,,,,,,,,,,,,,,,,,
 单纯疱疹病毒感染症,传染科,,,,,,,,,,,,,,,,,,
 丹毒丝菌病,传染科,,,,,,,,,,,,,,,,,,
 登革出血热,传染科,,,,,,,,,,,,,,,,,,
 产气杆菌肠炎,传染科,,,,,,,,,,,,,,,,,,
 高致病性禽流...,传染科,,,,,,,,,,,,,,,,,,
 广州管圆线虫病,传染科,,,,,,,,,,,,,,,,,,
 结肠阿米巴,传染科,,,,,,,,,,,,,,,,,,
 白痢,传染科,,,,,,,,,,,,,,,,,,
 泌尿生殖系支...,传染科,,,,,,,,,,,,,,,,,,
 腹腔肺吸虫病,传染科,,,,,,,,,,,,,,,,,,
 复孔绦虫病,传染科,,,,,,,,,,,,,,,,,,
 非01霍乱弧菌肠炎,传染科,,,,,,,,,,,,,,,,,,
 库鲁病,传染科,,,,,,,,,,,,,,,,,,
 寇热,传染科,,,,,,,,,,,,,,,,,,
 链球菌感染,传染科,,,,,,,,,,,,,,,,,,
 鄂木斯克出血热,传染科,,,,,,,,,,,,,,,,,,
 解脲支原体感染,传染科,,,,,,,,,,,,,,,,,,
 巴西紫热,传染科,,,,,,,,,,,,,,,,,,
 副霍乱,传染科,,,,,,,,,,,,,,,,,,
 肺原发性结核性复征,传染科,,,,,,,,,,,,,,,,,,
 副溶血孤菌肠炎,传染科,,,,,,,,,,,,,,,,,,
 克里米亚-刚...,传染科,,,,,,,,,,,,,,,,,,
 溃疡性皮肤结核,传染科,,,,,,,,,,,,,,,,,,
 抗-HCVAg阳性,传染科,,,,,,,,,,,,,,,,,,
 流行性脑脊髓膜炎,传染科,,,,,,,,,,,,,,,,,,
 颚口线虫病,传染科,,,,,,,,,,,,,,,,,,
 EB病毒感染,传染科,,,,,,,,,,,,,,,,,,
 鼻疽假单胞菌肺炎,传染科,,,,,,,,,,,,,,,,,,
 病毒性出血热,传染科,,,,,,,,,,,,,,,,,,
 布氏菌病,传染科,,,,,,,,,,,,,,,,,,
 巴贝虫病,传染科,,,,,,,,,,,,,,,,,,
 副流行性感冒,传染科,,,,,,,,,,,,,,,,,,
 科罗拉多蜱热,传染科,,,,,,,,,,,,,,,,,,
 口蹄病,传染科,,,,,,,,,,,,,,,,,,
 淋巴结核,传染科,,,,,,,,,,,,,,,,,,
 痢疾,传染科,,,,,,,,,,,,,,,,,,
 肠道厌氧菌感染,传染科,,,,,,,,,,,,,,,,,,
 肠伤寒,传染科,,,,,,,,,,,,,,,,,,
 斑疹伤寒,传染科,,,,,,,,,,,,,,,,,,
 鼻结核,传染科,,,,,,,,,,,,,,,,,,
 不动杆菌感染,传染科,,,,,,,,,,,,,,,,,,
 肺鼠疫,传染科,,,,,,,,,,,,,,,,,,
 肺炭疽,传染科,,,,,,,,,,,,,,,,,,
 艾滋病,传染科,,,,,,,,,,,,,,,,,,
 阿根廷出血热,传染科,,,,,,,,,,,,,,,,,,
 埃里希体病,传染科,,,,,,,,,,,,,,,,,,
 埃博拉病毒病,传染科,,,,,,,,,,,,,,,,,,
 肺结核瘤,传染科,,,,,,,,,,,,,,,,,,
 附红细胞体病,传染科,,,,,,,,,,,,,,,,,,
 A链球菌群感染,传染科,,,,,,,,,,,,,,,,,,
 艾滋病神经系统损害,传染科,,,,,,,,,,,,,,,,,,
 埃利希体病,传染科,,,,,,,,,,,,,,,,,,
 埃及血吸虫病,传染科,,,,,,,,,,,,,,,,,,
 肺门淋巴结核,传染科,,,,,,,,,,,,,,,,,,
 发热伴血小板...,传染科,,,,,,,,,,,,,,,,,,
 组织胞浆菌病,传染科,,,,,,,,,,,,,,,,,,
 中间型链球菌感染,传染科,,,,,,,,,,,,,,,,,,
 自由生活阿米巴感染,传染科,,,,,,,,,,,,,,,,,,
 战壕热,传染科,,,,,,,,,,,,,,,,,,
 鹦鹉热,传染科,,,,,,,,,,,,,,,,,,
 小儿麻疹,传染科,,,,,,,,,,,,,,,,,,
 胰腺结核,传染科,,,,,,,,,,,,,,,,,,
 支原体感染,传染科,,,,,,,,,,,,,,,,,,
 小儿细菌性痢疾,传染科,,,,,,,,,,,,,,,,,,
 锥虫病,传染科,,,,,,,,,,,,,,,,,,
 猪带绦虫病,传染科,,,,,,,,,,,,,,,,,,
 眼睑炭疽,传染科,,,,,,,,,,,,,,,,,,
 阴沟肠杆菌感染,传染科,,,,,,,,,,,,,,,,,,
 咽结合膜热,传染科,,,,,,,,,,,,,,,,,,
 致肠细胞病变...,传染科,,,,,,,,,,,,,,,,,,
 小儿结核性脑膜炎,传染科,,,,,,,,,,,,,,,,,,
 亚急性硬化性全脑炎,传染科,,,,,,,,,,,,,,,,,,
 咽部结核,传染科,,,,,,,,,,,,,,,,,,
 医院内感染,传染科,,,,,,,,,,,,,,,,,,
 小儿结核性胸膜炎,传染科,,,,,,,,,,,,,,,,,,
 西伯利亚立克...,传染科,,,,,,,,,,,,,,,,,,
 腺病毒感染,传染科,,,,,,,,,,,,,,,,,,
 隐球菌病,传染科,,,,,,,,,,,,,,,,,,
 阴茎结核疹,传染科,,,,,,,,,,,,,,,,,,
 咽白喉,传染科,,,,,,,,,,,,,,,,,,
 寻常狼疮,传染科,,,,,,,,,,,,,,,,,,
麻疹,传染科 儿科,,,,,,,,,,,,,,,,,,
支原体感染,传染科 儿科,,,,,,,,,,,,,,,,,,
巨细胞病毒感染症,传染科 儿科,,,,,,,,,,,,,,,,,,
水痘脑炎,传染科 儿科,,,,,,,,,,,,,,,,,,
巴西紫热,传染科 儿科,,,,,,,,,,,,,,,,,,
小儿曼氏迭宫绦虫病和曼氏裂头蚴病,传染科 儿科,,,,,,,,,,,,,,,,,,
白喉,传染科 耳鼻喉科,,,,,,,,,,,,,,,,,,
涎腺结核,传染科 耳鼻喉科,,,,,,,,,,,,,,,,,,
真菌过敏症,传染科 风湿科,,,,,,,,,,,,,,,,,,
Poncet综合征,传染科 风湿科,,,,,,,,,,,,,,,,,,
乙肝,传染科 肝病,,,,,,,,,,,,,,,,,,
戊肝,传染科 肝病,,,,,,,,,,,,,,,,,,
肝包虫病,传染科 肝病,,,,,,,,,,,,,,,,,,
丙肝,传染科 肝炎,,,,,,,,,,,,,,,,,,
病毒性肝炎,传染科 肝炎,,,,,,,,,,,,,,,,,,
甲肝,传染科 肝炎,,,,,,,,,,,,,,,,,,
丁肝,传染科 肝炎,,,,,,,,,,,,,,,,,,
流感,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
猪流感,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
肺结核,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
禽流感,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
SARS,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
链球菌感染,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
铜绿假单胞菌感染,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
弓形体病,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
Q热,传染科 呼吸内科,,,,,,,,,,,,,,,,,,
布病,传染科 急诊科,,,,,,,,,,,,,,,,,,
布氏菌病,传染科 急诊科,,,,,,,,,,,,,,,,,,
登革出血热,传染科 急诊科,,,,,,,,,,,,,,,,,,
新疆出血热,传染科 急诊科,,,,,,,,,,,,,,,,,,
立氏立克次体斑疹热,传染科 急诊科,,,,,,,,,,,,,,,,,,
老年人结核性脑膜炎,传染科 老年科,,,,,,,,,,,,,,,,,,
乙脑,传染科 内科,,,,,,,,,,,,,,,,,,
龟分枝杆菌感染,传染科 内科,,,,,,,,,,,,,,,,,,
溃疡分枝杆菌感染,传染科 内科,,,,,,,,,,,,,,,,,,
接合菌病,传染科 内科,,,,,,,,,,,,,,,,,,
基孔肯雅热,传染科 内科,,,,,,,,,,,,,,,,,,
